id,scientific,english,region,year,population_estimate,population_lower,population_upper,density_estimate,density_lower,density_upper
ALFL,Empidonax alnorum,Alder Flycatcher,Alaska,2020,7.683,6.633,9.089,0.067,0.058,0.08
ALFL,Empidonax alnorum,Alder Flycatcher,can10,2020,1.148,1.077,1.253,0.03,0.028,0.032
ALFL,Empidonax alnorum,Alder Flycatcher,can11,2020,0.556,0.533,0.588,0.013,0.012,0.013
ALFL,Empidonax alnorum,Alder Flycatcher,can12,2020,2.064,2.002,2.152,0.073,0.071,0.077
ALFL,Empidonax alnorum,Alder Flycatcher,can13,2020,0.549,0.532,0.562,0.048,0.047,0.049
ALFL,Empidonax alnorum,Alder Flycatcher,can14,2020,2.851,2.727,2.931,0.16,0.153,0.165
ALFL,Empidonax alnorum,Alder Flycatcher,can3,2020,0.207,0.166,0.229,0.011,0.009,0.012
ALFL,Empidonax alnorum,Alder Flycatcher,can40,2020,2.521,2.202,2.752,0.06,0.053,0.066
ALFL,Empidonax alnorum,Alder Flycatcher,can41,2020,1.257,0.96,1.593,0.046,0.035,0.059
ALFL,Empidonax alnorum,Alder Flycatcher,can42,2020,0.011,0.003,0.021,0.006,0.001,0.011
ALFL,Empidonax alnorum,Alder Flycatcher,can5,2020,0.06,0.039,0.075,0.003,0.002,0.004
ALFL,Empidonax alnorum,Alder Flycatcher,can60,2020,12.557,10.534,14.663,0.25,0.21,0.292
ALFL,Empidonax alnorum,Alder Flycatcher,can61,2020,8.81,8.34,9.422,0.151,0.143,0.162
ALFL,Empidonax alnorum,Alder Flycatcher,can70,2020,4.672,4.124,5.32,0.107,0.094,0.122
ALFL,Empidonax alnorum,Alder Flycatcher,can71,2020,5.537,4.968,6.178,0.157,0.141,0.176
ALFL,Empidonax alnorum,Alder Flycatcher,can72,2020,2.835,2.061,3.428,0.063,0.046,0.076
ALFL,Empidonax alnorum,Alder Flycatcher,can80,2020,6.68,5.746,7.921,0.117,0.1,0.138
ALFL,Empidonax alnorum,Alder Flycatcher,can81,2020,9.204,8.825,9.882,0.154,0.147,0.165
ALFL,Empidonax alnorum,Alder Flycatcher,can82,2020,0.092,0.083,0.1,0.009,0.009,0.01
ALFL,Empidonax alnorum,Alder Flycatcher,can9,2020,0.021,0.019,0.023,0.004,0.003,0.004
ALFL,Empidonax alnorum,Alder Flycatcher,Canada,2020,60.063,56.558,64.062,0.098,0.093,0.105
ALFL,Empidonax alnorum,Alder Flycatcher,Lower48,2020,2.007,1.924,2.085,0.015,0.015,0.016
ALFL,Empidonax alnorum,Alder Flycatcher,usa11,2020,0.158,0.147,0.178,0.005,0.004,0.005
ALFL,Empidonax alnorum,Alder Flycatcher,usa12,2020,1.488,1.382,1.637,0.075,0.069,0.082
ALFL,Empidonax alnorum,Alder Flycatcher,usa13,2020,0.138,0.133,0.144,0.019,0.018,0.02
ALFL,Empidonax alnorum,Alder Flycatcher,usa14,2020,0.615,0.6,0.635,0.04,0.039,0.042
ALFL,Empidonax alnorum,Alder Flycatcher,usa2,2020,0.261,0.179,0.372,0.013,0.009,0.019
ALFL,Empidonax alnorum,Alder Flycatcher,usa23,2020,0.238,0.227,0.246,0.01,0.01,0.01
ALFL,Empidonax alnorum,Alder Flycatcher,usa28,2020,0.137,0.132,0.146,0.019,0.018,0.02
ALFL,Empidonax alnorum,Alder Flycatcher,usa30,2020,0.029,0.027,0.031,0.008,0.008,0.009
ALFL,Empidonax alnorum,Alder Flycatcher,usa40,2020,1.232,0.961,1.459,0.048,0.037,0.057
ALFL,Empidonax alnorum,Alder Flycatcher,usa41423,2020,6.212,5.157,7.242,0.11,0.091,0.128
ALFL,Empidonax alnorum,Alder Flycatcher,usa43,2020,0.599,0.499,0.737,0.224,0.186,0.275
ALFL,Empidonax alnorum,Alder Flycatcher,usa5,2020,0.158,0.12,0.187,0.009,0.007,0.011
